comp,dmax,tg,tprime,taprime,tprimeextrap,tstar,ta,tstarextrap,tl
Ag10Cu40Zr50,5.0,701.2531830985204,691.4181844913128,1321.44517239721,519.4955685170873,845.9425721628497,1328.4441046994812,592.2995339178083,1177.0
Ag10Cu45Zr45,6.0,709.8056484826434,687.0352084695733,1317.15667520465,525.20410255564,844.9049834190312,1319.1932554958262,671.3405326385516,1159.0
Ag10Cu54Zr36,6.0,662.8705724828195,706.7006268705479,1330.0524815189135,568.7227348237991,849.4579496124229,1330.5121882971844,653.1926831258326,1146.0
Ag12Cu38Zr50,4.0,670.9267486526983,700.9845745749969,1330.597060778703,547.595355719802,828.0727262493753,1307.601866690734,584.5188312483508,1187.0
Ag12Cu44Zr44,4.0,655.0988918778176,663.7361406074767,1285.731830206008,481.3570866855383,816.1688815896755,1287.9700317742388,538.6542974493631,1156.0
Ag16Cu42Zr42,2.0,681.9331031493455,665.8187059279849,1295.450819743824,509.0584755103048,815.9351902305145,1297.371330312575,574.96171890949,1232.0
Ag2Cu48Zr50,2.0,674.8723611796048,706.4974452532856,1333.759367275903,545.2780895338338,852.8789188522119,1333.7278099195178,629.9386400167307,1192.0
Ag4Cu48Zr48,3.0,697.4696684953018,690.6628384939062,1321.4903643992457,526.9956933056444,831.0143127624782,1307.181709463182,593.7906861429287,1199.0
Ag5Cu45Zr50,4.0,679.22259155816,688.5702176477707,1316.7366400481696,527.0855293976576,840.4048893291595,1318.641457460068,649.0147310713817,1188.0
Ag7Cu43Zr50,4.0,659.383259080152,681.5617260730482,1310.3757298687506,509.1416147764279,846.3152398976051,1324.3273553075664,639.2246266890199,1171.0
Ag8Cu46Zr46,4.0,680.6649686456758,672.5432887142865,1303.8270885962202,497.2599239525496,839.2821684939275,1321.236952066631,578.7733237792432,1167.0
Al10Cu40Zr50,22.0,781.5185214389205,763.788788317666,1378.9754533666842,583.480043586502,948.2145753769952,1411.2725445348888,727.9226327446162,1149.5
Al7Cu45Zr48,5.0,754.4167560758635,768.2303365112055,1393.2230616902575,599.9709692512903,935.5825937296164,1403.0492576799768,709.3030804273928,1193.6666666666667
Al7Cu46Zr47,3.0,752.226981262568,759.5170848940475,1384.4421082121382,595.9291128661723,923.9186070773876,1384.7236815907477,659.408559325868,1163.0
Al7Cu50Zr43,5.0,749.9811334006292,769.5150365185448,1395.061348879589,608.6158652047768,935.4017909722984,1402.6341032913815,727.6425197023915,1181.8
Cu46Zr54,2.0,699.5849680587128,716.9123835489354,1336.24560954358,554.0765445742463,827.0592533295687,1283.640540871951,548.7040426521039,1201.0
Cu50Zr50,2.055555555555556,695.5738450011934,724.428192918218,1348.990538675433,580.1344412173148,859.1376731951352,1337.6949888835877,636.6897598444991,1225.75
Cu60Zr40,1.0,715.0998331023134,743.6053779953144,1365.120522973437,612.0724302103465,866.7540390928365,1348.7195884049054,649.4692420917256,1217.3833333333334
Cu64Zr36,2.0,762.3931064229196,770.6093562120616,1377.177363370669,659.9417490880696,867.7391628582957,1344.115525403323,665.5701293884624,1230.0
Nb40Ni60,1.0,1044.3141949703177,1059.5445885652966,1592.8622349538605,881.496954325976,1271.2546647129052,1608.9151150715809,964.79294084126,1480.0
Ni80P20,0.12,525.8064535872206,489.53487853472274,1011.9086689373536,272.3376101862549,684.8712914062351,1133.516071908599,403.677331143503,1161.0
