comp,gfa,tg,tprime,taprime,tprimeextrap,tstar,ta,tstarextrap,tl
Ag10Cu40Zr50,good,701.2531830985204,691.4181844913128,1321.44517239721,519.4955685170873,845.9425721628497,1328.4441046994812,592.2995339178083,1177.0
Ag10Cu45Zr45,good,709.8056484826434,687.0352084695733,1317.15667520465,525.20410255564,844.9049834190312,1319.1932554958262,671.3405326385516,1159.0
Ag10Cu54Zr36,good,662.8705724828195,706.7006268705479,1330.0524815189135,568.7227348237991,849.4579496124229,1330.5121882971844,653.1926831258326,1146.0
Ag12Cu38Zr50,good,670.9267486526983,700.9845745749969,1330.597060778703,547.595355719802,828.0727262493753,1307.601866690734,584.5188312483508,1187.0
Ag12Cu44Zr44,good,655.0988918778176,663.7361406074767,1285.731830206008,481.3570866855383,816.1688815896755,1287.9700317742388,538.6542974493631,1156.0
Ag16Cu42Zr42,good,681.9331031493455,665.8187059279849,1295.450819743824,509.0584755103048,815.9351902305145,1297.371330312575,574.96171890949,1232.0
Ag2Cu48Zr50,good,674.8723611796048,706.4974452532856,1333.759367275903,545.2780895338338,852.8789188522119,1333.7278099195178,629.9386400167307,1192.0
Ag48Cu52,poor,620.1434771434347,513.0881242205237,1078.684130652964,367.1276969479928,562.0499616408437,1027.8586188642662,328.5106466595471,1103.15
Ag4Cu48Zr48,good,697.4696684953018,690.6628384939062,1321.4903643992457,526.9956933056444,831.0143127624782,1307.181709463182,593.7906861429287,1199.0
Ag5Cu45Zr50,good,679.22259155816,688.5702176477707,1316.7366400481696,527.0855293976576,840.4048893291595,1318.641457460068,649.0147310713817,1188.0
Ag7Cu43Zr50,good,659.383259080152,681.5617260730482,1310.3757298687506,509.1416147764279,846.3152398976051,1324.3273553075664,639.2246266890199,1171.0
Ag8Cu46Zr46,good,680.6649686456758,672.5432887142865,1303.8270885962202,497.2599239525496,839.2821684939275,1321.236952066631,578.7733237792432,1167.0
Al10La90,poor,251.3517610248761,295.36595695334586,744.0113652401058,166.87096042518402,365.89887243988017,799.3707850059377,236.95453467639092,1033.15
Al13La87,good,307.8724278245566,333.6254649157666,842.479225371286,212.722274720746,396.62030296066587,851.0871231195626,268.3342347497111,973.15
Al20La80,good,354.1064691231581,389.5850236377927,948.0339526296063,257.8536730878509,463.794038580099,929.9790162144124,297.855979874315,853.15
Al20Zr80,poor,1076.5033494982918,903.422379428331,1436.6645265575848,735.5899667574598,961.2088441384816,1372.5671413913512,552.2680839352279,1813.15
Al25Zr75,poor,971.208071655317,865.7710202710418,1466.7701815396804,667.860882439162,1067.1875582419375,1496.0121453719462,809.3254728033148,1733.15
Al30La70,good,479.3636383484799,491.948085657132,1106.7366122193816,364.2303339538273,549.5785414037864,1055.714010116245,343.07757323993553,953.15
Al30Zr70,poor,994.6737861323496,899.0260761698939,1495.132084821228,713.4191222858452,1096.6001764903149,1518.6819275908592,865.9278263213707,1633.15
Al40Cu60,poor,690.1188553622492,570.4932859687603,1132.5864139776786,420.5246686019002,642.6341344168269,1127.2830651765105,419.6671961181994,1233.15
Al40La60,good,565.301302200497,576.3422903273562,1211.2554007245158,448.0645251716289,690.399666161091,1184.85060456397,581.0111479120023,1113.15
Al50Cu50,poor,601.6012379340807,578.7550793794351,1207.392329975478,470.8037049213734,649.2650348229793,1130.4156430342623,518.9298983292757,1153.15
Al50La50,poor,704.2567042447808,689.2217843648534,1305.7120901269243,594.0169637327479,766.6230983761133,1276.4843987155532,616.6633154005767,1413.15
Al55La45,good,769.6210046285022,761.7525338832534,1357.0551642103896,681.2326098790143,842.236255141701,1296.7826704947815,756.9328410223707,1613.15
Al55Ti45,poor,962.4233803500828,752.4454571452384,1364.7089932567965,578.5718353934709,931.8358318427734,1400.752927187796,735.0443448391088,1753.15
Al60Cu40,poor,466.518968635424,474.3928621411928,1081.9311340829377,326.04930564184747,590.9548922797122,1084.7483016382953,443.5671083549691,973.15
Al60La40,poor,943.1179240958944,770.658648727976,1400.4794190885764,653.3712394958654,735.6727480879192,1236.4143001596503,536.6062297406547,1653.15
Al70Cu30,poor,407.4714167809557,458.0574965340588,1067.8640859556515,336.363639713176,526.4285999863022,1007.7926296806676,398.14423122345374,873.15
Al70La30,poor,882.4340681173128,791.3871778968451,1400.3784696432033,689.3601081613217,826.0705792748156,1330.4773053397948,668.3447937890376,1653.15
Al70Ni30,poor,708.3070178750523,701.8047046924466,1338.756455321951,520.3279332384953,870.1029148842191,1355.5566472027776,630.0856779568321,1593.15
Al75Cu25,poor,382.38222514549074,416.27279702430087,1003.0196801803932,285.8187757276873,501.5404884076074,975.5678507590756,378.8794855391091,853.15
Al7Cu45Zr48,good,754.4167560758635,768.2303365112055,1393.2230616902575,599.9709692512903,935.5825937296164,1403.0492576799768,709.3030804273928,1193.6666666666667
Al7Cu46Zr47,good,752.226981262568,759.5170848940475,1384.4421082121382,595.9291128661723,923.9186070773876,1384.7236815907477,659.408559325868,1163.0
Al7Cu50Zr43,good,749.9811334006292,769.5150365185448,1395.061348879589,608.6158652047768,935.4017909722984,1402.6341032913815,727.6425197023915,1181.8
Al80Cu20,poor,371.8264003041659,373.3520231589031,914.5449623255448,231.69365865875272,469.3998189302951,932.0159635233272,358.46658422273106,833.15
Al80La20,poor,743.5634945940487,710.5643614342216,1346.985110793081,582.2884841655472,863.0180990758682,1336.5318627380611,759.3197634386586,1513.15
Al80Ni20,poor,619.2233766936877,602.4182275969745,1230.647740889312,425.2504014497214,750.3440198151457,1259.9780213365575,538.9995770134499,1213.15
Al82Sm18,poor,775.7091560751542,752.2032647204481,1383.752177111905,622.417867306415,910.7744486975824,1399.5135169175828,713.8126386718102,1613.15
Al84Sm16,good,753.6388660830523,678.5458556295316,1323.0987176819424,498.1589110492535,875.2711416267214,1368.7010244800251,701.4983802223852,1533.15
Al86La14,good,681.1791830890218,625.2581135904647,1258.4629857741504,460.0967930873192,810.8785459485648,1290.2409598006252,706.4707990419149,1433.15
Al86Ni14,poor,570.2336386255168,560.9396123261188,1194.2414638149248,409.6065917144045,679.6367938016051,1185.1443553405918,465.4284404353575,1093.15
Al86Sm14,good,706.3668245553395,655.4465145547784,1301.0455985415942,489.8543175851386,839.2677261715148,1343.4841520909133,661.6528370223966,1353.15
Al88Ni12,poor,537.1979788932626,547.0696425297813,1179.7317869340727,397.8965399528875,647.5970909800035,1153.0788164745254,431.74344653484,1053.15
Al88Sm12,good,679.5754482872973,603.9109853904026,1208.2723409491657,412.5338357624971,813.131029477532,1316.5659155717444,661.0087996957868,1293.15
Al90La10,good,660.9658738644528,585.3827537450684,1229.099469641099,444.8974185147068,743.9412413270095,1235.3812701617776,633.0192161324608,1293.15
Al90Sm10,good,652.3073344224418,596.883845909194,1229.700930092362,439.4820861473802,789.712848085607,1288.6835210518034,656.5598646284982,1233.15
Al92La8,good,573.5087757506337,538.8111097549543,1180.9445667140112,394.9856081774288,688.3242128678085,1205.4126543257453,509.7436962877936,1173.15
