v_time,v_visc
0,0.00140286
0.1,0.0088609
0.2,0.00839969
0.3,0.00741113
0.4,0.00760196
0.5,0.00713823
0.6,0.00623321
0.7,0.00583658
0.8,0.0058211
0.9,0.00570756
1,0.00598306
1.1,0.00529683
1.2,0.00470012
1.3,0.00442066
1.4,0.00457759
1.5,0.00481431
1.6,0.00452599
1.7,0.00446245
1.8,0.00455608
1.9,0.00447609
2,0.00440175
2.1,0.00443262
2.2,0.00423409
2.3,0.00445682
2.4,0.00436505
2.5,0.00433469
2.6,0.00423447
2.7,0.0042195
2.8,0.00447128
2.9,0.00430913
3,0.00434577
3.1,0.00427261
3.2,0.00423328
3.3,0.00415609
3.4,0.00421158
3.5,0.00429451
3.6,0.00429765
3.7,0.00446939
3.8,0.00462022
3.9,0.00453847
4,0.00454723
4.1,0.00451969
4.2,0.00447607
4.3,0.00450131
4.4,0.00464798
4.5,0.00445082
4.6,0.00440193
4.7,0.00430842
4.8,0.00429977
4.9,0.00434277
5,0.0045584
5.1,0.00453198
5.2,0.00457092
5.3,0.0044502
5.4,0.00474615
5.5,0.00464033
5.6,0.00460479
5.7,0.00465353
5.8,0.00458012
5.9,0.00460557
6,0.00451106
6.1,0.0044451
6.2,0.00447053
6.3,0.00442606
6.4,0.00434607
6.5,0.00435599
6.6,0.00427589
6.7,0.00442406
6.8,0.00447387
6.9,0.00446104
7,0.00448955
7.1,0.00467801
7.2,0.00480304
7.3,0.0048293
7.4,0.00486006
7.5,0.00484001
7.6,0.00494218
7.7,0.00493947
7.8,0.00493778
7.9,0.00486486
8,0.00481558
8.1,0.00473729
8.2,0.00470841
8.3,0.00470005
8.4,0.00490468
8.5,0.00483682
8.6,0.0048312
8.7,0.00481675
8.8,0.00474164
8.9,0.0047201
9,0.00467987
9.1,0.00478917
9.2,0.00482286
9.3,0.00478885
9.4,0.00474996
9.5,0.0047247
9.6,0.00478638
9.7,0.0048143
9.8,0.00477735
9.9,0.0047475
